date,symbol,open,high,low,close,adjusted_close,volume,source,daily_return,range_pct,sma_20,sma_50,volatility_20d
2010-01-04,QQQ,46.33000183,46.49000168,46.27000046,46.41999817,40.24655914,62822800,yahoo_finance_backfill,,0.004739362962,,,
2010-01-05,QQQ,46.38999939,46.5,46.15999985,46.41999817,40.24655914,62935600,yahoo_finance_backfill,0,0.007324432645,,,
2010-01-06,QQQ,46.40000153,46.54999924,46.06999969,46.13999939,40.00379181,96033000,yahoo_finance_backfill,-0.006031856765,0.01040311132,,,
2010-01-07,QQQ,46.20999908,46.27000046,45.91999817,46.16999817,40.02981567,77094100,yahoo_finance_backfill,0.0006501686258,0.007580729995,,,
2010-01-08,QQQ,46.06999969,46.54999924,45.93000031,46.54999924,40.35926819,88886600,yahoo_finance_backfill,0.008230476176,0.01331898905,,,
2010-01-11,QQQ,46.61000061,46.63999939,46.11999893,46.36000061,40.19453812,104673400,yahoo_finance_backfill,-0.004081603289,0.01121657578,,,
2010-01-12,QQQ,46.08000183,46.13999939,45.52999878,45.77999878,39.69167709,90673900,yahoo_finance_backfill,-0.01251082447,0.01332460957,,,
2010-01-13,QQQ,45.91999817,46.49000168,45.61000061,46.34999847,40.18587875,100661000,yahoo_finance_backfill,0.01245084546,0.01898599998,,,
2010-01-14,QQQ,46.25999832,46.52000046,46.22000122,46.38999939,40.22056198,75209000,yahoo_finance_backfill,0.0008630187987,0.006466894674,,,
2010-01-15,QQQ,46.47000122,46.54999924,45.65000153,45.84999847,39.75234604,126849300,yahoo_finance_backfill,-0.01164045973,0.01962917645,,,
2010-01-19,QQQ,45.95999908,46.63999939,45.95000076,46.59000015,40.39396667,84388200,yahoo_finance_backfill,0.01613962279,0.01481001562,,,
2010-01-20,QQQ,46.25999832,46.59999847,45.43000031,45.91999817,39.81305313,145680000,yahoo_finance_backfill,-0.01438081086,0.02547905502,,,
2010-01-21,QQQ,46.04999924,46.34999847,45.29999924,45.49000168,39.44022751,204939600,yahoo_finance_backfill,-0.009364035434,0.02308197826,,,
2010-01-22,QQQ,45.34000015,45.47999954,44.04000092,44.15999985,38.28710938,171098700,yahoo_finance_backfill,-0.02923723414,0.03260866451,,,
2010-01-25,QQQ,44.43000031,44.59999847,44.11999893,44.31000137,38.41718292,154218700,yahoo_finance_backfill,0.003396773562,0.01083275841,,,
2010-01-26,QQQ,44.25999832,44.88999939,44.04999924,44.34999847,38.45185471,140816500,yahoo_finance_backfill,0.0009026652847,0.01894025206,,,
2010-01-27,QQQ,44.27000046,44.84999847,44.00999832,44.70000076,38.75530243,161632700,yahoo_finance_backfill,0.007891821918,0.01879194934,,,
2010-01-28,QQQ,44.40000153,44.43000031,43.31999969,43.54999924,37.75824738,221439800,yahoo_finance_backfill,-0.02572710292,0.02548795957,,,
2010-01-29,QQQ,43.90999985,44.02000046,42.63000107,42.79000092,37.09931564,212099600,yahoo_finance_backfill,-0.01745116724,0.03248421033,,,
2010-02-01,QQQ,42.90000153,43.27999878,42.88000107,43.25999832,37.50680542,136827100,yahoo_finance_backfill,0.01098381374,0.009246364437,45.37749939,,
2010-02-02,QQQ,43.33000183,43.77999878,43.02999878,43.65000153,37.84495163,110727700,yahoo_finance_backfill,0.009015331141,0.01718212998,45.23899956,,0.01265403847
2010-02-03,QQQ,43.43999863,43.97000122,43.41999817,43.88999939,38.05302048,93581600,yahoo_finance_backfill,0.005498232568,0.01253139799,45.11249962,,0.01278161273
2010-02-04,QQQ,43.56999969,43.65999985,42.61999893,42.61999893,36.95191956,151652500,yahoo_finance_backfill,-0.02893598719,0.02440171155,44.9364996,,0.01405645976
2010-02-05,QQQ,42.72999954,43.02000046,42.11999893,42.97999954,37.26404953,213618600,yahoo_finance_backfill,0.008446753145,0.0209400079,44.77699966,,0.01429437757
2010-02-08,QQQ,42.90999985,43.18000031,42.63999939,42.66999817,36.99527359,94354400,yahoo_finance_backfill,-0.007212689002,0.01265528341,44.58299961,,0.01404366819
2010-02-09,QQQ,43.18000031,43.50999832,42.75999832,43.11000061,37.37677383,118956000,yahoo_finance_backfill,0.01031175202,0.01739735536,44.42049961,,0.01441647074
2010-02-10,QQQ,43.11000061,43.31000137,42.75,43.02000046,37.29872513,94102900,yahoo_finance_backfill,-0.002087686122,0.01301723301,44.28249969,,0.01426222262
2010-02-11,QQQ,43.02999878,43.79000092,42.75999832,43.66999817,37.8622818,93050800,yahoo_finance_backfill,0.01510919812,0.02358604633,44.14849968,,0.01442531816
2010-02-12,QQQ,43.27999878,43.88000107,43.15999985,43.75999832,37.94031906,93938500,yahoo_finance_backfill,0.002060914902,0.0164534106,44.01699963,,0.01444412535
2010-02-16,QQQ,44.08000183,44.34999847,43.84999847,44.31999969,38.42583847,83861400,yahoo_finance_backfill,0.01279710675,0.01128158853,43.94049969,,0.01468970931
2010-02-17,QQQ,44.52000046,44.56999969,44.25999832,44.56999969,38.64260101,82691700,yahoo_finance_backfill,0.005640794263,0.00695538192,43.83949966,,0.01420220955
2010-02-18,QQQ,44.54000092,44.93000031,44.45000076,44.84999847,38.88534927,65752600,yahoo_finance_backfill,0.006282225307,0.01070233147,43.78599968,,0.01401343989
2010-02-19,QQQ,44.72999954,45.04999924,44.61999893,44.83000183,38.86800003,80416500,yahoo_finance_backfill,-0.0004458559795,0.009591797735,43.75299969,,0.0138773266
2010-02-22,QQQ,45.00999832,45.02999878,44.56000137,44.74000168,38.78998184,72055000,yahoo_finance_backfill,-0.002007587471,0.01050508253,43.78199978,,0.01215234761
2010-02-23,QQQ,44.70999908,44.74000168,43.95000076,44.15999985,38.28710938,95814400,yahoo_finance_backfill,-0.01296383121,0.01788951365,43.7744997,,0.01250836255
2010-02-24,QQQ,44.38999939,44.79000092,44.31999969,44.61000061,38.6772728,86591000,yahoo_finance_backfill,0.01019023464,0.01053578174,43.78749981,,0.01271797986
2010-02-25,QQQ,44.13999939,44.70000076,43.83000183,44.59999847,38.66858292,97961300,yahoo_finance_backfill,-0.0002242129537,0.01950670314,43.78249969,,0.01259421752
2010-02-26,QQQ,44.59000015,44.86000061,44.40000153,44.75999832,38.80732346,66222400,yahoo_finance_backfill,0.003587440706,0.0102770129,43.84299965,,0.01105917271
2010-03-01,QQQ,44.95999908,45.49000168,44.95000076,45.40999985,39.37088394,77290100,yahoo_finance_backfill,0.01452192928,0.01189167412,43.97399959,,0.01048207392
2010-03-02,QQQ,45.56999969,45.84999847,45.45000076,45.54999924,39.49225998,76368500,yahoo_finance_backfill,0.003083007938,0.008781508599,44.08849964,,0.01031400871
2010-03-03,QQQ,45.65999985,45.81999969,45.43000031,45.59999847,39.53562164,65735500,yahoo_finance_backfill,0.001097677955,0.008552618269,44.18599949,,0.01020755896
2010-03-04,QQQ,45.63000107,45.81000137,45.40000153,45.75,39.66566086,54470900,yahoo_finance_backfill,0.003289507347,0.008961745137,44.27899952,,0.01018234083
2010-03-05,QQQ,46.09000015,46.54000092,45.99000168,46.43999863,40.26388168,68136300,yahoo_finance_backfill,0.01508193727,0.01184322257,44.4699995,,0.007525257556
2010-03-08,QQQ,46.45999908,46.63999939,46.43999863,46.52999878,40.34193802,58712400,yahoo_finance_backfill,0.001937987783,0.004298318617,44.64749947,,0.007478352808
2010-03-09,QQQ,46.43000031,47.04999924,46.40000153,46.79000092,40.56737137,98002800,yahoo_finance_backfill,0.00558783896,0.01389180802,44.8534996,,0.007000487965
2010-03-10,QQQ,46.81999969,47.27999878,46.79999924,47.16999817,40.89681625,102578900,yahoo_finance_backfill,0.008121334527,0.01017594994,45.05649948,,0.006923840815
2010-03-11,QQQ,47.06000137,47.34999847,46.97999954,47.34999847,41.0528717,67510300,yahoo_finance_backfill,0.003815991244,0.007814127602,45.27299938,,0.006750398935
2010-03-12,QQQ,47.5,47.52999878,47.09999847,47.36000061,41.06154633,64068300,yahoo_finance_backfill,0.000211238444,0.009079398321,45.4574995,,0.00636730648
2010-03-15,QQQ,47.25999832,47.38000107,46.90999985,47.24000168,40.95750427,60150500,yahoo_finance_backfill,-0.002533761158,0.009949221069,45.63149967,,0.006525048907
2010-03-16,QQQ,47.38999939,47.61000061,47.22999954,47.54000092,41.21762466,74950600,yahoo_finance_backfill,0.006350534067,0.007993291179,45.79249973,45.14179955,0.006211698687
2010-03-17,QQQ,47.61000061,47.90000153,47.52999878,47.66999817,41.33031082,75643500,yahoo_finance_backfill,0.002734481436,0.007761752973,45.94749966,45.16679955,0.006193719128
2010-03-18,QQQ,47.70999908,47.88000107,47.59999847,47.83000183,41.4690361,77829400,yahoo_finance_backfill,0.003356485549,0.005854120621,46.09649983,45.19499962,0.006156148736
2010-03-19,QQQ,47.91999817,47.95000076,47.31999969,47.49000168,41.21820831,86337100,yahoo_finance_backfill,-0.007108512168,0.01326597279,46.22949982,45.22199966,0.00653471185
2010-03-22,QQQ,47.29999924,48.11000061,47.25,47.91999817,41.59141541,71902800,yahoo_finance_backfill,0.009054463567,0.01794659104,46.38849964,45.25699966,0.006564969953
2010-03-23,QQQ,47.99000168,48.29999924,47.77000046,48.25,41.87783813,59182600,yahoo_finance_backfill,0.006886515914,0.01098443067,46.59299965,45.29099968,0.005337016097
