date,symbol,open,high,low,close,adjusted_close,volume,source,daily_return,range_pct,sma_20,sma_50,volatility_20d
2010-01-04,IWM,63.29000092,64.04000092,63.27000046,63.97999954,51.24470139,42863900,yahoo_finance_backfill,,0.01203501822,,,
2010-01-05,IWM,63.88000107,64.18000031,63.49000168,63.75999832,51.06848907,55523100,yahoo_finance_backfill,-0.003438593648,0.01082181067,,,
2010-01-06,IWM,63.75999832,64.09999847,63.54000092,63.70000076,51.0204277,59708600,yahoo_finance_backfill,-0.0009409906145,0.008791170225,,,
2010-01-07,IWM,63.74000168,64.22000122,63.13999939,64.16999817,51.3968811,56123500,yahoo_finance_backfill,0.007378295202,0.01683032353,,,
2010-01-08,IWM,63.93999863,64.51999664,63.79999924,64.51999664,51.67721558,48811500,yahoo_finance_backfill,0.005454238429,0.01115929072,,,
2010-01-11,IWM,64.77999878,64.87999725,64.01000214,64.26000214,51.46897125,51638900,yahoo_finance_backfill,-0.004029673179,0.01353867228,,,
2010-01-12,IWM,63.86000061,64.16000366,63.25999832,63.56000137,50.90830994,45854900,yahoo_finance_backfill,-0.01089325781,0.01415993267,,,
2010-01-13,IWM,63.77999878,64.51000214,63.22999954,64.37999725,51.56508255,39501900,yahoo_finance_backfill,0.01290113062,0.01988199215,,,
2010-01-14,IWM,64.13999939,64.81999969,64.01999664,64.62000275,51.75730896,41859800,yahoo_finance_backfill,0.003727951386,0.01238011476,,,
2010-01-15,IWM,64.65000153,64.80000305,63.27000046,63.68000031,51.00440979,68725100,yahoo_finance_backfill,-0.01454661715,0.02402642246,,,
2010-01-19,IWM,63.91999817,64.87000275,63.91999817,64.84999847,51.94152069,46839000,yahoo_finance_backfill,0.01837308659,0.01464926141,,,
2010-01-20,IWM,64.38999939,64.40000153,63.18999863,63.90999985,51.18862915,62485000,yahoo_finance_backfill,-0.0144949675,0.01893291978,,,
2010-01-21,IWM,63.95999908,64.48000336,62.63999939,62.86000061,50.34764099,98323100,yahoo_finance_backfill,-0.01642934193,0.02927145963,,,
2010-01-22,IWM,62.75999832,63.06000137,61.18000031,61.72999954,49.44256973,83757000,yahoo_finance_backfill,-0.01797647246,0.03045522556,,,
2010-01-25,IWM,62.08000183,62.15000153,61.33000183,61.79999924,49.49863815,62298700,yahoo_finance_backfill,0.001133965665,0.01326860372,,,
2010-01-26,IWM,61.56999969,62.02999878,61.13999939,61.18999863,49.01005554,58213200,yahoo_finance_backfill,-0.009870560154,0.01454485063,,,
2010-01-27,IWM,60.91999817,61.93999863,60.70999908,61.84000015,49.53067017,72565800,yahoo_finance_backfill,0.01062267584,0.01989003148,,,
2010-01-28,IWM,61.95999908,61.99000168,60.22000122,60.77999878,48.6816597,93814200,yahoo_finance_backfill,-0.01714103117,0.02912142967,,,
2010-01-29,IWM,61.02999878,61.68999863,59.97000122,60.11000061,48.14500809,79325600,yahoo_finance_backfill,-0.01102333306,0.02861416391,,,
2010-02-01,IWM,60.38999939,60.93999863,60.15999985,60.81999969,48.71369934,60731800,yahoo_finance_backfill,0.01181166316,0.01282470871,63.02599964,,
2010-02-02,IWM,60.93000031,61.56000137,60.61999893,61.49000168,49.25033951,71047700,yahoo_finance_backfill,0.0110161459,0.01528707781,62.90149975,,0.01164982321
2010-02-03,IWM,61.20000076,61.63000107,60.59000015,61.08000183,48.92193985,50241000,yahoo_finance_backfill,-0.006667748232,0.01702686458,62.76749992,,0.01169429445
2010-02-04,IWM,60.65999985,60.68000031,58.99000168,59.04000092,47.28802872,99167300,yahoo_finance_backfill,-0.03339883512,0.0286246376,62.53449993,,0.01362135936
2010-02-05,IWM,59.16999817,59.33000183,58,59.27000046,47.47225189,106752200,yahoo_finance_backfill,0.003895656105,0.02243971351,62.28950005,,0.0134939124
2010-02-08,IWM,59.08000183,59.59999847,58.61999893,58.68000031,46.99967957,61579200,yahoo_finance_backfill,-0.00995444821,0.0167007419,61.99750023,,0.01337245196
2010-02-09,IWM,59.38000107,59.93000031,58.75,59.49000168,47.6484375,91986700,yahoo_finance_backfill,0.01380370426,0.01983527108,61.75900021,,0.01399582651
2010-02-10,IWM,59.31000137,59.77999878,58.68999863,59.63000107,47.76055908,55715500,yahoo_finance_backfill,0.002353326375,0.01827939176,61.56250019,,0.01395364025
